Month,Duck_Forzen_BE,Duck_Forzen_CH,Duck_Forzen_DE,Duck_Forzen_ES,Duck_Forzen_GB,Duck_Forzen_HK,Duck_Forzen_IT,Duck_Forzen_JP,Duck_Forzen_OTHER,Duck_Forzen_SG,Duck_Forzen_TH,Duck_Fresh_BE,Duck_Fresh_CH,Duck_Fresh_DE,Duck_Fresh_ES,Duck_Fresh_GB,Duck_Fresh_HK,Duck_Fresh_IT,Duck_Fresh_JP,Duck_Fresh_OTHER,Duck_Fresh_SG,Duck_Fresh_TH,Goose_Forzen_BE,Goose_Forzen_CH,Goose_Forzen_DE,Goose_Forzen_ES,Goose_Forzen_GB,Goose_Forzen_HK,Goose_Forzen_IT,Goose_Forzen_JP,Goose_Forzen_OTHER,Goose_Forzen_SG,Goose_Forzen_TH,Goose_Fresh_BE,Goose_Fresh_CH,Goose_Fresh_DE,Goose_Fresh_ES,Goose_Fresh_GB,Goose_Fresh_HK,Goose_Fresh_IT,Goose_Fresh_JP,Goose_Fresh_OTHER,Goose_Fresh_SG,Goose_Fresh_TH
2012-12-01,4195,1051,1221,31977,1431,4489,3376,15874,478.3333333333333,2461,3603,30800,144975,4239,34105,14738,1322,4346,19832,424.4318181818182,69,1039,25,0,196,1859,533,0,220,0,89.5,2008,0,2677,1705,7682,398,193,328,471,1060,543.3,122,32
2013-01-01,739,1669,661,13572,757,4858,1514,10176,447.6111111111111,358,1193,3641,10179,1367,9559,6530,768,829,14391,267.2758620689655,90,0,155,0,315,354,893,0,202,0,323.4,82,39,140,330,2216,10,88,696,308,763,254.77777777777777,0,0
2013-02-01,3174,882,400,18502,1188,8807,601,36269,575.5,3790,4579,2914,12573,1577,9844,5272,821,454,17393,438.96666666666664,2539,5,0,0,71,3176,419,828,127,0,129.83333333333334,0,0,145,513,2115,47,59,144,162,157,297.7,0,0
2013-03-01,2351,1178,836,20274,856,4243,1873,17714,564.1363636363636,6721,12238,2773,8001,1778,11558,4840,857,702,10663,555.96,376,1289,136,0,63,1786,1071,114,75,0,93.0,0,0,138,259,2261,27,44,261,233,298,204.36363636363637,0,32
2013-04-01,6686,608,751,21381,1035,2132,634,38801,1007.6521739130435,4327,5752,2646,8498,1219,11200,5458,433,622,16427,281.4193548387097,258,53,70,0,118,641,593,0,34,0,271.125,1125,65,106,250,2020,25,57,182,279,217,196.08333333333334,10,0
2013-05-01,2353,2125,938,27861,1324,5501,1738,32258,785.45,3866,4763,2249,8008,1406,12244,5374,405,841,12131,270.14814814814815,99,1216,11,0,113,1309,644,108,219,0,1117.375,2813,102,107,107,2100,44,69,278,144,359,186.9090909090909,20,0
2013-06-01,1718,818,1312,22620,1473,1626,939,29935,311.6666666666667,1006,2107,1871,8390,1291,13303,4495,509,708,11414,199.16,239,567,108,0,94,2243,1029,2437,16,0,347.1666666666667,343,100,67,685,1779,57,49,257,244,234,179.30769230769232,0,80
2013-07-01,979,81,999,23929,1108,5967,1416,19158,508.8095238095238,2107,8269,1624,6971,1165,14120,4943,709,788,13153,157.19354838709677,3601,256,62,0,66,63,1090,501,174,0,609.5,3887,31,89,299,1987,107,78,1396,110,756,235.9,0,0
2013-08-01,939,1345,1516,15011,893,1052,1334,22408,967.05,3059,2487,2238,7000,1419,12737,4378,773,776,17559,265.3478260869565,268,217,66,0,67,927,595,150,81,2729,84.75,549,0,76,223,2371,79,47,314,198,104,62.77777777777778,0,0
2013-09-01,4050,7977,1188,30976,2063,20362,1312,52100,1181.4444444444443,2058,4051,2371,17506,2109,13900,5186,2423,643,13322,266.25,379,1002,84,0,242,794,1343,288,281,7579,1043.5,0,109,162,333,2832,65,74,1495,144,620,68.33333333333333,30,371
2013-10-01,34173,4849,2795,23255,902,7762,1418,29925,1458.2173913043478,4414,6467,3705,22142,2428,13056,5977,427,1372,14867,652.2666666666667,5123,33,10,0,397,1794,1336,4,68,854,199.33333333333334,8289,0,223,343,3845,18,21,552,435,504,308.07142857142856,0,321
2013-11-01,57193,5917,1859,41338,2188,4139,1455,24218,771.1904761904761,4217,2208,7150,43811,2620,17982,6473,6574,983,12784,407.57142857142856,1105,613,94,0,310,3408,1275,0,129,772,261.5,0,101,627,401,4119,21,268,3609,397,679,723.0588235294117,0,0
2013-12-01,4159,4267,999,39374,1490,7020,3277,35885,820.12,2350,4449,29975,63521,5251,22680,9450,721,2778,15079,671.7954545454545,1286,529,0,21,127,725,662,851,403,4631,580.375,0,0,1965,1876,7247,197,179,522,527,1583,652.9411764705883,0,0
2014-01-01,4003,1655,1518,13976,866,7577,1570,17740,452.2,4319,10679,2406,10846,1541,8789,4424,7635,729,11538,235.60714285714286,2088,669,142,15,193,4499,665,3200,160,0,201.16666666666666,383,56,248,814,2537,9,73,150,159,189,81.36363636363636,0,0
2014-02-01,1479,746,1128,21673,1266,26662,1324,37329,479.3636363636364,2397,4348,2445,11057,1207,7623,4651,411,739,8401,283.9230769230769,658,251,10,0,32,720,1004,0,161,0,696.1666666666666,0,0,156,572,1947,7,66,357,276,172,276.625,0,701
2014-03-01,3261,1559,615,23246,1167,8036,1172,30259,755.95,2555,4725,2134,8088,1517,8469,4859,488,431,9978,213.52173913043478,120,1404,717,0,100,279,1745,643,62,0,292.5,4380,0,155,911,1934,9,95,389,170,219,313.7142857142857,0,0
2014-04-01,45606,754,1425,28525,844,2765,1133,28015,441.35,1143,1358,2768,9089,1470,9660,4810,462,971,24022,254.15384615384616,775,230,119,0,80,731,845,1273,132,4279,376.875,0,24,239,493,2337,40,60,374,333,343,44.833333333333336,0,0
2014-05-01,1100,1535,704,23839,1228,350,1816,28383,784.7647058823529,1488,1321,2123,6235,1064,12174,4205,681,1242,12974,350.40625,859,0,79,283,95,44,247,599,66,4877,64.75,0,35,128,272,2265,49,62,182,284,385,243.0,0,0
2014-06-01,5193,881,1416,29377,1445,5157,1311,25911,919.2380952380952,1431,1034,1819,7091,995,11698,4578,1294,637,8088,221.96153846153845,825,144,0,0,149,227,813,306,100,2452,735.25,0,1285,204,355,2112,104,84,433,93,160,220.1,840,150
2014-07-01,543,1045,557,29149,1673,6795,1182,46616,694.1904761904761,1677,9525,1804,7030,1215,10556,4471,1330,950,16548,175.92592592592592,0,1043,85,0,116,1335,1152,1013,216,3779,246.25,0,57,47,345,1967,46,70,289,301,253,279.1111111111111,0,0
2014-08-01,6346,2868,2120,26094,715,2262,1334,33031,617.4761904761905,2852,2372,1597,7234,1427,12958,3604,500,641,8464,167.44444444444446,1851,0,85,0,206,92,628,1001,128,23,493.3333333333333,659,229,116,216,2232,26,76,303,221,118,156.66666666666666,0,200
2014-09-01,27697,8643,1727,30468,1483,6825,1778,29209,483.34615384615387,2261,10771,2766,15341,1848,12926,4970,896,1268,27220,276.56666666666666,1626,144,2020,528,192,539,401,1102,163,8969,213.57142857142858,0,47,222,453,3373,49,104,154,355,184,230.83333333333334,0,0
2014-10-01,111984,10294,1684,37720,1814,8933,1966,46774,914.0370370370371,5630,9016,3350,16748,2174,12785,5731,1387,744,11065,893.3333333333334,0,98,62,0,339,1886,1314,506,110,5666,497.77777777777777,3059,48,231,836,3370,61,90,644,267,190,333.9230769230769,0,0
2014-11-01,22705,9208,1862,28291,2054,6887,4846,24677,964.8965517241379,1333,7523,7217,29478,2795,12041,7054,743,1272,11174,367.81081081081084,2481,56,0,63,158,1842,980,1356,208,0,432.0,0,2576,607,967,4110,107,93,1684,674,293,834.1428571428571,0,0
2014-12-01,4077,7441,1677,40224,2279,4421,4820,11051,867.3846153846154,1815,1244,27571,64027,4210,22472,9098,1383,1312,24084,779.2926829268292,2362,907,82,0,198,399,682,366,531,1434,89.28571428571429,0,456,1044,2585,7906,199,127,447,664,509,587.05,0,4
2015-01-01,1239,939,875,12208,1783,417,1445,1796,377.625,1323,664,2065,6978,1132,6136,3808,25032,659,8713,247.2608695652174,742,48,116,0,139,3039,1176,0,39,5767,298.8,0,0,98,294,2076,58,53,222,372,143,60.75,0,3
2015-09-01,18766,11590,1422,49765,1523,19347,2073,35450,623.1785714285714,3389,13231,2615,14199,1814,13001,4589,1670,984,13128,496.3333333333333,606,389,84,30,445,1032,755,272,264,21133,213.57142857142858,0,32,77,881,2769,38,79,204,346,211,453.2,0,0
2015-10-01,4017,17421,1898,41735,1261,12006,1849,57356,1099.1538461538462,4798,9440,3312,12183,2485,9126,4784,1741,1073,11350,583.8518518518518,134,1533,60,0,175,63,1175,990,181,0,2121.777777777778,2162,0,120,535,2971,50,80,125,215,345,407.1818181818182,0,0
2015-11-01,8490,17041,1572,63399,1618,9236,5564,11808,1055.92,5917,6306,7485,34655,2481,12222,5667,636,1785,7558,544.7096774193549,12,205,1876,440,422,677,883,1286,553,0,199.16666666666666,2811,0,384,956,4657,14,103,19,576,279,976.7142857142857,325,350
2015-12-01,3831,15066,1505,34412,2178,5279,3830,44187,1744.0526315789473,3195,61,21397,58552,4531,20207,8073,1053,3030,249,566.6388888888889,29,51,425,10,284,61,1382,1098,256,0,246.85714285714286,1650,0,595,2096,7518,105,122,7,536,0,1210.5833333333333,0,0
2016-01-01,2629,2552,773,18329,615,4198,2591,34930,1004.047619047619,1153,351,2571,7462,987,5295,3577,175,872,625,181.66666666666666,262,24,365,0,153,686,601,6892,352,0,90.25,0,128,74,182,1464,20,29,0,425,0,29.88888888888889,0,0
2016-02-01,2031,7069,858,36381,1878,2422,1570,13630,1403.235294117647,6327,2415,2504,7124,1185,10717,4576,195,870,0,197.53571428571428,20,0,112,0,86,121,3183,1124,130,0,141.2,0,0,155,318,2178,99,39,0,283,0,51.5,0,0
2016-03-01,6065,4545,1375,27658,2630,11220,2196,10162,731.1304347826087,5819,0,2324,7073,1386,10996,4274,275,942,169,350.3157894736842,3,0,565,0,106,102,783,1938,246,0,539.875,0,0,68,340,2498,9,22,0,178,0,335.0,0,0
2016-04-01,5631,5039,1238,23964,837,0,2152,2210,968.4285714285714,1268,0,1627,9505,1413,6754,3467,522,768,204,306.45,877,0,343,400,46,300,2365,0,41,0,177.0,958,0,69,122,1608,27,18,0,261,0,44.125,0,0
2016-05-01,1620,2692,821,24054,1333,3564,1636,0,1054.409090909091,715,0,1625,5260,1322,7639,4506,22902,449,570,214.52380952380952,367,0,2436,0,33,655,597,0,84,0,240.2,2404,0,47,269,1943,29,25,616,160,0,280.44444444444446,0,0
2016-06-01,734,3131,898,22342,933,5692,1455,3463,1467.35,1086,0,1789,5777,1245,6068,3948,328,820,208,184.45833333333334,5,0,725,0,80,10,12,220,20,0,180.4,0,0,44,223,2142,10,103,0,222,0,33.833333333333336,0,0
2016-07-01,614,2429,520,23089,1508,4821,2498,0,920.0526315789474,2017,0,844,3687,1065,6135,3935,399,640,43,168.8,911,1050,396,0,64,2320,0,0,74,0,669.6,1818,0,16,136,1429,6,91,2,181,0,1077.1666666666667,0,0
2016-08-01,1529,499,734,31614,1059,418,2176,627,641.1176470588235,433,0,1097,6133,1311,6339,3111,299,496,0,421.2105263157895,0,0,0,0,75,2571,474,0,30,0,349.8333333333333,0,0,21,609,1541,15,30,0,346,0,52.333333333333336,0,0
2016-09-01,2967,10586,1463,36921,2257,11396,2326,2177,2612.1052631578946,2182,0,1452,8366,1175,78436,3315,5008,927,0,185.76190476190476,0,0,0,60,71,1326,210,0,100,0,249.0,0,0,60,336,2340,0,106,0,250,0,79.71428571428571,0,0
