Month,Duck_Forzen_BE,Duck_Forzen_CH,Duck_Forzen_DE,Duck_Forzen_ES,Duck_Forzen_GB,Duck_Forzen_HK,Duck_Forzen_IT,Duck_Forzen_JP,Duck_Forzen_OTHER,Duck_Forzen_SG,Duck_Forzen_TH,Duck_Fresh_BE,Duck_Fresh_CH,Duck_Fresh_DE,Duck_Fresh_ES,Duck_Fresh_GB,Duck_Fresh_HK,Duck_Fresh_IT,Duck_Fresh_JP,Duck_Fresh_OTHER,Duck_Fresh_SG,Duck_Fresh_TH,Goose_Forzen_BE,Goose_Forzen_CH,Goose_Forzen_DE,Goose_Forzen_ES,Goose_Forzen_GB,Goose_Forzen_HK,Goose_Forzen_IT,Goose_Forzen_JP,Goose_Forzen_OTHER,Goose_Forzen_SG,Goose_Forzen_TH,Goose_Fresh_BE,Goose_Fresh_CH,Goose_Fresh_DE,Goose_Fresh_ES,Goose_Fresh_GB,Goose_Fresh_HK,Goose_Fresh_IT,Goose_Fresh_JP,Goose_Fresh_OTHER,Goose_Fresh_SG,Goose_Fresh_TH
2015-01-01,40444,25213,28216,217531,51347,6213,46818,27669,9455.666666666666,26319,8521,55178,126254,30323,122713,88195,56341,18747,230885,6485.565217391304,17737,1986,3279,0,5874,26229,35785,0,1751,162886,7157.6,0,0,3047,12558,71316,1540,2081,9694,11938,5677,2028.125,0,357
2015-09-01,152062,306073,46264,629543,45792,406113,66133,1027071,15773.32142857143,104624,332445,72856,317658,48534,232796,109316,50248,28130,390454,10068.518518518518,13758,9267,2791,1438,19746,10810,23588,12252,11730,284231,6874.571428571428,0,1530,2257,35590,92120,912,2982,7607,10242,7511,2006.6,0,0
2015-10-01,96623,397726,61176,602242,38729,332974,59645,1154017,27464.153846153848,138207,262128,92884,278296,74527,179505,114263,48971,34036,307318,11513.296296296296,4257,31515,1946,0,7937,1981,34806,44561,8460,0,31849.222222222223,32649,0,3444,30643,99922,1651,3126,4381,6326,10148,1545.3636363636363,0,0
2015-11-01,196448,459557,51864,901535,46763,215940,181489,338410,25545.24,180806,167106,203770,836315,66948,240045,140111,21357,49590,209488,9963.58064516129,434,5132,22883,17215,18276,10690,27350,42066,25248,0,5566.333333333333,37207,0,15199,53930,164335,689,4122,785,19068,9988,4783.285714285715,14673,7583
2015-12-01,128732,387171,50513,622945,62566,154061,107453,1130070,20533.21052631579,101075,2360,652169,1389198,117310,412135,195026,24280,46707,6486,9843.5,1255,1790,4420,1161,12311,2400,39130,30903,11365,0,9737.714285714286,43587,0,24494,134882,275439,4853,4809,380,18865,0,8330.666666666666,0,0
2016-01-01,68404,54721,24624,270590,17608,120902,80890,1009612,26592.04761904762,29871,8816,61521,157025,26170,107073,85716,6680,23431,15484,4480.5,2900,1056,11160,0,6732,9505,19726,112766,15430,0,3543.0,0,3532,2036,6437,52815,742,1236,0,13630,0,1092.7777777777778,0,0
2016-02-01,67164,204647,29101,551441,50640,68742,51197,361047,33460.470588235294,133572,73036,58752,161361,32287,202357,111072,6904,24664,0,4681.142857142857,812,0,3959,0,3231,1393,94366,17909,6272,0,3679.4,0,0,5319,9065,77722,3037,1515,0,9224,0,1890.3,0,0
2016-03-01,136763,135893,46210,419736,71692,358163,73244,277093,18704.347826086956,184195,0,53589,155384,38013,158228,105261,9226,28109,4389,7864.9473684210525,10,0,9916,0,3217,3034,23664,20539,10001,0,11656.75,0,0,2465,14872,87374,251,989,0,6063,0,3675.7,0,0
2016-04-01,126585,129222,43197,392513,24888,0,71345,52815,28330.666666666668,44305,0,40800,233414,38716,139801,85054,13328,22681,9778,5196.1,20786,0,10227,14800,1428,5955,70661,0,1695,0,4833.0,27809,0,2358,4666,57757,883,759,0,9091,0,1637.75,0,0
2016-05-01,45089,83809,28080,487945,42041,101631,55689,0,23865.68181818182,25355,0,42182,122476,36596,150927,108775,31968,12769,25843,4404.761904761905,9852,0,49668,0,990,12666,20002,0,3488,0,7042.8,70357,0,1581,14729,67893,827,1080,14569,5042,0,1338.7777777777778,0,0
2016-06-01,26426,81470,29879,422775,27663,147935,51581,91030,34363.1,36816,0,37400,131831,34096,115525,97070,9981,23688,5492,4591.375,129,0,15450,0,2661,409,618,6463,852,0,6180.4,0,0,1485,10181,74066,517,4099,0,7175,0,1275.8333333333333,0,0
2016-07-01,21831,76932,16893,431089,43567,125863,82952,0,25896.263157894737,65848,0,21802,86346,29200,120319,98233,14163,18831,962,4143.4,19714,17090,12478,0,2134,13360,0,0,3421,0,19669.6,53020,0,518,7172,50140,198,3529,144,5763,0,22437.666666666668,0,0
2016-08-01,53701,16019,24891,536773,29453,12506,69348,17946,14382.588235294117,13043,0,25695,143777,36910,124425,77285,10427,13764,0,10179.894736842105,0,0,0,0,2661,15001,11123,0,1400,0,9625.833333333334,0,0,844,22592,55527,447,1345,0,11286,0,1894.3333333333333,0,0
2016-09-01,89537,265966,51180,597446,65279,339052,82247,60887,58246.26315789474,74157,0,38536,221081,33322,285095,84255,77416,27571,0,5100.047619047619,0,0,0,3117,1514,23510,7351,0,3975,0,7098.333333333333,0,0,2252,15974,89806,0,4430,0,8454,0,2691.8571428571427,0,0
