,col0,Symbol
56,form .sep {display:none;}.more {text-align:center;}#ft {padding-top:10px;border-top:1px solid #999;}#ft p {text-align:center;font:78% arial;},BTH
57,/* end nn4 hide */,BTH
58,</style></head>,BTH
59,"<body><div id=""doc"">",BTH
60,"<div id=""ygma""><a href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",BTH
61,src=http://l.yimg.com/a/i/yahoo.gif,BTH
62,"width=147 height=31 border=0 alt=""Yahoo!""></a><div><a",BTH
63,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",BTH
64,"- <a href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",BTH
65,"<div id=""bd""><h1>Sorry",BTH
66,<p>Please check the URL for proper spelling and capitalization. If,BTH
67,you're having trouble locating a destination on Yahoo!,BTH
68,<strong><a,BTH
69,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo! home",BTH
70,page</a></strong> or look through a list of <strong><a,BTH
71,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",BTH
72,online services</a></strong>. Also,BTH
73,if you try searching below.</p>,BTH
74,"<form name=""s1"" action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",BTH
75,"<legend><label for=""s1p"">Search the Web</label></legend>",BTH
76,"<input type=""text"" size=30 name=""p"" id=""s1p"" title=""enter search terms here"">",BTH
77,"<input type=""submit"" value=""Search"">",BTH
78,"<span><a href=""http://us.rd.yahoo.com/404/*http://search.yahoo.com/search/options?p="">advanced search</a> <span class=sep>|</span> <a href=""http://us.rd.yahoo.com/404/*http://buzz.yahoo.com"">most popular</a></span>",BTH
79,</fieldset></form>,BTH
80,"<p class=""more"">Please try <strong><a",BTH
81,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",BTH
82,Help Central</a></strong> if you need more assistance.</p>,BTH
83,"</div><div id=""ft""><p>Copyright &copy; 2016 Yahoo! Inc.",BTH
84,All rights reserved. <a,BTH
85,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",BTH
86,Policy</a> - <a,BTH
87,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",BTH
88,of Service</a></p></div>,BTH
89,</div></body></html>,BTH
