,Date,Symbol,High,Adj_Close,Volume,Open,Close,Low
120,2016-02-04,WFT.TO,47.380001,47.064602,121900,44.889999,47.220001,44.830002
121,2016-02-03,WFT.TO,45.630001,44.682468,193400,45.630001,44.830002,43.860001
122,2016-02-02,WFT.TO,47.00,44.812038,267500,46.349998,44.959999,44.470001
123,2016-02-01,WFT.TO,48.310001,47.662626,179300,48.310001,47.82,46.849998
124,2016-01-29,WFT.TO,48.380001,47.991542,273300,45.349998,48.150002,44.790001
125,2016-01-28,WFT.TO,45.880001,45.091119,98600,45.799999,45.240002,44.139999
126,2016-01-27,WFT.TO,47.700001,45.160888,154600,46.080002,45.310001,44.869999
127,2016-01-26,WFT.TO,46.720001,45.96822,155000,44.959999,46.119999,44.57
128,2016-01-25,WFT.TO,45.529999,44.204045,161000,45.029999,44.349998,43.91
129,2016-01-22,WFT.TO,48.810001,45.4898,317200,44.68,45.639999,44.02
130,2016-01-21,WFT.TO,42.91,42.011288,201900,40.759998,42.150002,40.189999
131,2016-01-20,WFT.TO,41.110001,40.685663,187400,41.09,40.82,39.540001
132,2016-01-19,WFT.TO,43.130001,41.463095,196200,43.130001,41.599998,41.049999
133,2016-01-18,WFT.TO,42.849998,41.961449,50300,42.849998,42.099998,41.610001
134,2016-01-15,WFT.TO,43.169998,42.210627,180400,41.25,42.349998,41.189999
135,2016-01-14,WFT.TO,43.66,43.287074,265400,42.09,43.43,41.59
136,2016-01-13,WFT.TO,43.740002,41.672407,287000,42.470001,41.810001,41.349998
137,2016-01-12,WFT.TO,44.720001,41.463095,418200,43.41,41.599998,41.150002
138,2016-01-11,WFT.TO,45.130001,43.247205,304200,45.060001,43.389999,41.93
139,2016-01-08,WFT.TO,47.00,44.63263,151300,46.259998,44.779999,44.599998
140,2016-01-07,WFT.TO,47.200001,45.729012,319300,46.849998,45.880001,44.700001
141,2016-01-06,WFT.TO,50.080002,48.499862,472900,49.75,48.66,48.00
142,2016-01-05,WFT.TO,52.169998,50.244103,216400,52.150002,50.41,49.669998
143,2016-01-04,WFT.TO,52.18,51.818905,144700,51.349998,51.990002,49.75
144,2015-12-31,WFT.TO,52.880001,52.357125,67700,52.209999,52.529999,51.200001
145,2015-12-30,WFT.TO,53.91,52.387029,86900,53.889999,52.560001,52.169998
